dc_id,sku_id,available_inv
DC015,SKU069,2269
DC009,SKU035,0
DC010,SKU060,223
DC002,SKU022,10582
DC010,SKU067,187
DC012,SKU023,16436
DC011,SKU021,103
DC008,SKU047,733
DC016,SKU033,0
DC001,SKU039,852
DC010,SKU020,958
DC001,SKU026,32
DC013,SKU041,214
DC008,SKU026,165
DC003,SKU011,256
DC009,SKU029,921
DC002,SKU038,375
DC004,SKU027,180
DC005,SKU019,6773
DC006,SKU056,478
DC010,SKU023,32587
DC017,SKU026,303
DC006,SKU053,0
DC001,SKU055,79
DC014,SKU046,6884
DC002,SKU068,1181
DC010,SKU063,3098
DC017,SKU060,34
DC008,SKU009,160
DC018,SKU023,40256
DC014,SKU068,635
DC017,SKU010,551
DC006,SKU005,259
DC017,SKU048,271
DC001,SKU031,0
DC004,SKU062,5154
DC012,SKU032,314
DC003,SKU056,602
DC016,SKU015,174
DC018,SKU060,85
DC015,SKU070,396
DC016,SKU006,1890
DC001,SKU060,140
DC001,SKU034,768
DC007,SKU009,250
DC016,SKU055,29
DC015,SKU014,1673
DC016,SKU010,229
DC013,SKU025,1528
DC015,SKU054,550
DC007,SKU030,86
DC002,SKU014,3518
DC006,SKU039,1207
DC013,SKU060,72
DC015,SKU034,1080
DC003,SKU069,2357
DC018,SKU053,0
DC004,SKU067,60
DC002,SKU059,0
DC007,SKU038,223
DC002,SKU050,529
DC005,SKU016,1301
DC010,SKU030,427
DC017,SKU006,2070
DC011,SKU031,608
DC015,SKU066,367
DC007,SKU050,0
DC018,SKU024,143
DC007,SKU069,695
DC005,SKU036,2457
DC008,SKU020,213
DC014,SKU054,716
DC002,SKU036,2168
DC005,SKU005,99
DC003,SKU034,782
DC001,SKU013,0
DC005,SKU024,131
DC006,SKU061,3459
DC009,SKU021,262
DC006,SKU020,1310
DC017,SKU059,24
DC013,SKU053,3
DC017,SKU009,340
DC015,SKU006,5173
DC010,SKU072,757
DC002,SKU070,1033
DC017,SKU063,251
DC018,SKU070,128
DC010,SKU014,486
DC014,SKU025,2681
DC013,SKU020,64
DC014,SKU061,3010
DC014,SKU048,85
DC005,SKU008,685
DC001,SKU008,0
DC006,SKU027,0
DC005,SKU048,224
DC015,SKU039,676
DC004,SKU071,0
DC003,SKU032,833
DC008,SKU045,12303
DC002,SKU017,98
DC012,SKU034,238
DC014,SKU030,46
DC016,SKU026,224
DC016,SKU031,667
DC004,SKU045,40303
DC017,SKU001,0
DC008,SKU032,807
DC001,SKU014,2420
DC016,SKU016,938
DC016,SKU068,503
DC017,SKU005,288
DC010,SKU070,613
DC002,SKU019,19310
DC010,SKU066,530
DC010,SKU001,0
DC013,SKU057,72
DC017,SKU047,1040
DC010,SKU005,1879
DC017,SKU016,259
DC013,SKU062,1114
DC014,SKU047,68
DC017,SKU029,5811
DC003,SKU009,3340
DC011,SKU067,114
DC006,SKU068,1427
DC011,SKU024,474
DC003,SKU072,568
DC005,SKU021,0
DC008,SKU021,787
DC010,SKU002,0
DC010,SKU006,3779
DC010,SKU056,748
DC003,SKU016,1198
DC010,SKU016,1753
DC010,SKU049,175
DC010,SKU017,1584
DC002,SKU030,332
DC003,SKU046,5409
DC016,SKU059,78
DC016,SKU034,320
DC004,SKU064,48
DC013,SKU010,212
DC004,SKU002,0
DC009,SKU045,7076
DC014,SKU052,21
DC013,SKU011,136
DC007,SKU039,356
DC014,SKU005,1230
DC015,SKU041,635
DC002,SKU002,0
DC016,SKU032,389
DC005,SKU014,690
DC002,SKU057,381
DC013,SKU070,157
DC016,SKU048,151
DC002,SKU028,2
DC001,SKU054,1190
DC018,SKU002,43
DC011,SKU040,0
DC001,SKU027,108
DC016,SKU071,37
DC018,SKU008,1261
DC018,SKU042,16
DC018,SKU012,363
DC003,SKU031,1468
DC004,SKU031,0
DC007,SKU025,1917
DC017,SKU008,315
DC006,SKU060,298
DC013,SKU038,0
DC008,SKU027,252
DC008,SKU033,0
DC016,SKU012,16
DC011,SKU060,95
DC014,SKU021,976
DC005,SKU069,1031
DC006,SKU058,448
DC001,SKU067,369
DC008,SKU070,85
DC009,SKU046,1647
DC011,SKU059,50
DC004,SKU001,24
DC010,SKU015,425
DC013,SKU054,1258
DC017,SKU022,2841
DC011,SKU026,0
DC006,SKU017,169
DC004,SKU026,1100
DC003,SKU029,16403
DC015,SKU062,5464
DC016,SKU017,45
DC008,SKU016,546
DC007,SKU059,18
DC007,SKU044,1426
DC007,SKU061,2111
DC015,SKU052,89
DC001,SKU044,2257
DC007,SKU067,46
DC004,SKU047,1215
DC004,SKU060,79
DC001,SKU061,4122
DC016,SKU062,1392
DC016,SKU022,1069
DC003,SKU048,224
DC012,SKU057,74
DC007,SKU010,35
DC015,SKU012,411
DC015,SKU029,11693
DC007,SKU045,13016
DC014,SKU040,2
DC014,SKU042,6
DC011,SKU023,8441
DC006,SKU010,562
